group,regimen,covariate,phenotype,MIC_mg_L,target,n,attained_n,PTA,PTA_lower_95,PTA_upper_95
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,64,100% fT>MIC,10000,35,0.0035,0.00251777850562249,0.00486353187645937
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,128,100% fT>MIC,10000,0,0,0,0.000383998370676596
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,256,100% fT>MIC,10000,0,0,0,0.000383998370676596
egfr_max_CI,Continuous infusion,eGFR,High,0.25,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
egfr_max_CI,Continuous infusion,eGFR,High,0.5,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
egfr_max_CI,Continuous infusion,eGFR,High,1,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
egfr_max_CI,Continuous infusion,eGFR,High,2,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
egfr_max_CI,Continuous infusion,eGFR,High,4,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
egfr_max_CI,Continuous infusion,eGFR,High,8,100% fT>4xMIC,10000,9959,0.9959,0.994443005072309,0.996976145343654
egfr_max_CI,Continuous infusion,eGFR,High,16,100% fT>4xMIC,10000,7635,0.7635,0.755071274180157,0.771726358678497
egfr_max_CI,Continuous infusion,eGFR,High,32,100% fT>4xMIC,10000,989,0.0989,0.0932020825076399,0.104905960985317
egfr_max_CI,Continuous infusion,eGFR,High,64,100% fT>4xMIC,10000,3,3e-04,0.00010203219941781,0.000881735772236379
egfr_max_CI,Continuous infusion,eGFR,High,128,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
egfr_max_CI,Continuous infusion,eGFR,High,256,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
egfr_max_CI,Continuous infusion,eGFR,High,0.25,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_max_CI,Continuous infusion,eGFR,High,0.5,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_max_CI,Continuous infusion,eGFR,High,1,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_max_CI,Continuous infusion,eGFR,High,2,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_max_CI,Continuous infusion,eGFR,High,4,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_max_CI,Continuous infusion,eGFR,High,8,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_max_CI,Continuous infusion,eGFR,High,16,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_max_CI,Continuous infusion,eGFR,High,32,100% fT>MIC,10000,9959,0.9959,0.994443005072309,0.996976145343654
egfr_max_CI,Continuous infusion,eGFR,High,64,100% fT>MIC,10000,7635,0.7635,0.755071274180157,0.771726358678497
egfr_max_CI,Continuous infusion,eGFR,High,128,100% fT>MIC,10000,989,0.0989,0.0932020825076399,0.104905960985317
egfr_max_CI,Continuous infusion,eGFR,High,256,100% fT>MIC,10000,3,3e-04,0.00010203219941781,0.000881735772236379
egfr_min_CI,Continuous infusion,eGFR,Low,0.25,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
egfr_min_CI,Continuous infusion,eGFR,Low,0.5,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
egfr_min_CI,Continuous infusion,eGFR,Low,1,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
egfr_min_CI,Continuous infusion,eGFR,Low,2,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
egfr_min_CI,Continuous infusion,eGFR,Low,4,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
egfr_min_CI,Continuous infusion,eGFR,Low,8,100% fT>4xMIC,10000,9999,0.9999,0.999433731102599,0.999982347326399
egfr_min_CI,Continuous infusion,eGFR,Low,16,100% fT>4xMIC,10000,9800,0.98,0.977066073239287,0.982565288324863
egfr_min_CI,Continuous infusion,eGFR,Low,32,100% fT>4xMIC,10000,5512,0.5512,0.541433886055498,0.560926792511345
egfr_min_CI,Continuous infusion,eGFR,Low,64,100% fT>4xMIC,10000,218,0.0218,0.0191161566007535,0.0248510994409616
egfr_min_CI,Continuous infusion,eGFR,Low,128,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
egfr_min_CI,Continuous infusion,eGFR,Low,256,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
egfr_min_CI,Continuous infusion,eGFR,Low,0.25,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_min_CI,Continuous infusion,eGFR,Low,0.5,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_min_CI,Continuous infusion,eGFR,Low,1,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_min_CI,Continuous infusion,eGFR,Low,2,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_min_CI,Continuous infusion,eGFR,Low,4,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_min_CI,Continuous infusion,eGFR,Low,8,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_min_CI,Continuous infusion,eGFR,Low,16,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_min_CI,Continuous infusion,eGFR,Low,32,100% fT>MIC,10000,9999,0.9999,0.999433731102599,0.999982347326399
egfr_min_CI,Continuous infusion,eGFR,Low,64,100% fT>MIC,10000,9800,0.98,0.977066073239287,0.982565288324863
egfr_min_CI,Continuous infusion,eGFR,Low,128,100% fT>MIC,10000,5512,0.5512,0.541433886055498,0.560926792511345
egfr_min_CI,Continuous infusion,eGFR,Low,256,100% fT>MIC,10000,218,0.0218,0.0191161566007535,0.0248510994409616
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,0.25,100% fT>4xMIC,10000,9983,0.9983,0.997279014584904,0.998938292638879
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,0.5,100% fT>4xMIC,10000,9940,0.994,0.992285132503221,0.99533547710655
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,1,100% fT>4xMIC,10000,9724,0.9724,0.969003207017394,0.975433991321991
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,2,100% fT>4xMIC,10000,8847,0.8847,0.878291930335477,0.890812621318124
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,4,100% fT>4xMIC,10000,6556,0.6556,0.646228642046206,0.66485185766084
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,8,100% fT>4xMIC,10000,2747,0.2747,0.266039213212981,0.283533816452845
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,16,100% fT>4xMIC,10000,344,0.0344,0.0310028839693623,0.0381546953134117
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,32,100% fT>4xMIC,10000,5,5e-04,0.000213588426163826,0.00117002594614209
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,64,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,128,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,256,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,0.25,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,0.5,100% fT>MIC,10000,9998,0.9998,0.999271004155992,0.999945151072679
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,1,100% fT>MIC,10000,9983,0.9983,0.997279014584904,0.998938292638879
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,2,100% fT>MIC,10000,9940,0.994,0.992285132503221,0.99533547710655
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,4,100% fT>MIC,10000,9724,0.9724,0.969003207017394,0.975433991321991
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,8,100% fT>MIC,10000,8847,0.8847,0.878291930335477,0.890812621318124
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,16,100% fT>MIC,10000,6556,0.6556,0.646228642046206,0.66485185766084
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,32,100% fT>MIC,10000,2747,0.2747,0.266039213212981,0.283533816452845
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,64,100% fT>MIC,10000,344,0.0344,0.0310028839693623,0.0381546953134117
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,128,100% fT>MIC,10000,5,5e-04,0.000213588426163826,0.00117002594614209
egfr_max_QDS,Intermittent short infusion (QDS),eGFR,High,256,100% fT>MIC,10000,0,0,0,0.000383998370676596
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,0.25,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,0.5,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,1,100% fT>4xMIC,10000,9999,0.9999,0.999433731102599,0.999982347326399
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,2,100% fT>4xMIC,10000,9983,0.9983,0.997279014584904,0.998938292638879
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,4,100% fT>4xMIC,10000,9812,0.9812,0.978347338307702,0.983683101660359
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,8,100% fT>4xMIC,10000,8565,0.8565,0.849491778937333,0.863234430224375
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,16,100% fT>4xMIC,10000,4205,0.4205,0.410857185174288,0.43020387056665
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,32,100% fT>4xMIC,10000,392,0.0392,0.0355698505848916,0.0431840423135239
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,64,100% fT>4xMIC,10000,1,1e-04,1.76526736011224e-05,0.000566268897401338
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,128,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,256,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,0.25,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,0.5,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,1,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,2,100% fT>MIC,10000,10000,1,0.999616001629323,1
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,4,100% fT>MIC,10000,9999,0.9999,0.999433731102599,0.999982347326399
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,8,100% fT>MIC,10000,9983,0.9983,0.997279014584904,0.998938292638879
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,16,100% fT>MIC,10000,9812,0.9812,0.978347338307702,0.983683101660359
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,32,100% fT>MIC,10000,8565,0.8565,0.849491778937333,0.863234430224375
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,64,100% fT>MIC,10000,4205,0.4205,0.410857185174288,0.43020387056665
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,128,100% fT>MIC,10000,392,0.0392,0.0355698505848916,0.0431840423135239
egfr_min_QDS,Intermittent short infusion (QDS),eGFR,Low,256,100% fT>MIC,10000,1,1e-04,1.76526736011224e-05,0.000566268897401338
