group,regimen,covariate,phenotype,MIC_mg_L,target,n,attained_n,PTA,PTA_lower_95,PTA_upper_95
CRP_max_QDS,Intermittent short infusion (QDS),CRP,High,128,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
CRP_max_QDS,Intermittent short infusion (QDS),CRP,High,256,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
CRP_max_QDS,Intermittent short infusion (QDS),CRP,High,0.25,100% fT>MIC,10000,10000,1,0.999616001629323,1
CRP_max_QDS,Intermittent short infusion (QDS),CRP,High,0.5,100% fT>MIC,10000,10000,1,0.999616001629323,1
CRP_max_QDS,Intermittent short infusion (QDS),CRP,High,1,100% fT>MIC,10000,10000,1,0.999616001629323,1
CRP_max_QDS,Intermittent short infusion (QDS),CRP,High,2,100% fT>MIC,10000,10000,1,0.999616001629323,1
CRP_max_QDS,Intermittent short infusion (QDS),CRP,High,4,100% fT>MIC,10000,10000,1,0.999616001629323,1
CRP_max_QDS,Intermittent short infusion (QDS),CRP,High,8,100% fT>MIC,10000,9991,0.9991,0.998290269886976,0.999526422939415
CRP_max_QDS,Intermittent short infusion (QDS),CRP,High,16,100% fT>MIC,10000,9887,0.9887,0.986432588781874,0.990592091210627
CRP_max_QDS,Intermittent short infusion (QDS),CRP,High,32,100% fT>MIC,10000,9037,0.9037,0.897762074663092,0.909327885052424
CRP_max_QDS,Intermittent short infusion (QDS),CRP,High,64,100% fT>MIC,10000,5274,0.5274,0.51760625746403,0.537172699425257
CRP_max_QDS,Intermittent short infusion (QDS),CRP,High,128,100% fT>MIC,10000,637,0.0637,0.0590789458974844,0.068656131080768
CRP_max_QDS,Intermittent short infusion (QDS),CRP,High,256,100% fT>MIC,10000,3,3e-04,0.00010203219941781,0.000881735772236379
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,0.25,100% fT>4xMIC,10000,9335,0.9335,0.928448307450339,0.938218765962285
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,0.5,100% fT>4xMIC,10000,8192,0.8192,0.811534911900905,0.826619943539255
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,1,100% fT>4xMIC,10000,6114,0.6114,0.601805467865408,0.620908977297606
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,2,100% fT>4xMIC,10000,3249,0.3249,0.31578950856169,0.334144967667721
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,4,100% fT>4xMIC,10000,935,0.0935,0.0879489766551346,0.0993632140202255
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,8,100% fT>4xMIC,10000,101,0.0101,0.00831972010424615,0.0122565214993428
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,16,100% fT>4xMIC,10000,3,3e-04,0.00010203219941781,0.000881735772236379
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,32,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,64,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,128,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,256,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,0.25,100% fT>MIC,10000,9930,0.993,0.991165996916067,0.994455380690446
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,0.5,100% fT>MIC,10000,9787,0.9787,0.975680912995282,0.981351446964632
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,1,100% fT>MIC,10000,9335,0.9335,0.928448307450339,0.938218765962285
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,2,100% fT>MIC,10000,8192,0.8192,0.811534911900905,0.826619943539255
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,4,100% fT>MIC,10000,6114,0.6114,0.601805467865408,0.620908977297606
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,8,100% fT>MIC,10000,3249,0.3249,0.31578950856169,0.334144967667721
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,16,100% fT>MIC,10000,935,0.0935,0.0879489766551346,0.0993632140202255
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,32,100% fT>MIC,10000,101,0.0101,0.00831972010424615,0.0122565214993428
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,64,100% fT>MIC,10000,3,3e-04,0.00010203219941781,0.000881735772236379
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,128,100% fT>MIC,10000,0,0,0,0.000383998370676596
CRP_min_QDS,Intermittent short infusion (QDS),CRP,Low,256,100% fT>MIC,10000,0,0,0,0.000383998370676596
CI_Cohort,Continuous infusion,Cohort,Observed,0.25,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
CI_Cohort,Continuous infusion,Cohort,Observed,0.5,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
CI_Cohort,Continuous infusion,Cohort,Observed,1,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
CI_Cohort,Continuous infusion,Cohort,Observed,2,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
CI_Cohort,Continuous infusion,Cohort,Observed,4,100% fT>4xMIC,10000,9984,0.9984,0.997402363083803,0.999014867340306
CI_Cohort,Continuous infusion,Cohort,Observed,8,100% fT>4xMIC,10000,9665,0.9665,0.962790270945952,0.969851458574207
CI_Cohort,Continuous infusion,Cohort,Observed,16,100% fT>4xMIC,10000,7683,0.7683,0.759928471153355,0.77646547532094
CI_Cohort,Continuous infusion,Cohort,Observed,32,100% fT>4xMIC,10000,3632,0.3632,0.35382830079612,0.372676761158097
CI_Cohort,Continuous infusion,Cohort,Observed,64,100% fT>4xMIC,10000,672,0.0672,0.0624571990866682,0.0722751899029895
CI_Cohort,Continuous infusion,Cohort,Observed,128,100% fT>4xMIC,10000,27,0.0027,0.00185633062577562,0.00392559415369933
CI_Cohort,Continuous infusion,Cohort,Observed,256,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
CI_Cohort,Continuous infusion,Cohort,Observed,0.25,100% fT>MIC,10000,10000,1,0.999616001629323,1
CI_Cohort,Continuous infusion,Cohort,Observed,0.5,100% fT>MIC,10000,10000,1,0.999616001629323,1
CI_Cohort,Continuous infusion,Cohort,Observed,1,100% fT>MIC,10000,10000,1,0.999616001629323,1
CI_Cohort,Continuous infusion,Cohort,Observed,2,100% fT>MIC,10000,10000,1,0.999616001629323,1
CI_Cohort,Continuous infusion,Cohort,Observed,4,100% fT>MIC,10000,10000,1,0.999616001629323,1
CI_Cohort,Continuous infusion,Cohort,Observed,8,100% fT>MIC,10000,10000,1,0.999616001629323,1
CI_Cohort,Continuous infusion,Cohort,Observed,16,100% fT>MIC,10000,9984,0.9984,0.997402363083803,0.999014867340306
CI_Cohort,Continuous infusion,Cohort,Observed,32,100% fT>MIC,10000,9665,0.9665,0.962790270945952,0.969851458574207
CI_Cohort,Continuous infusion,Cohort,Observed,64,100% fT>MIC,10000,7683,0.7683,0.759928471153355,0.77646547532094
CI_Cohort,Continuous infusion,Cohort,Observed,128,100% fT>MIC,10000,3632,0.3632,0.35382830079612,0.372676761158097
CI_Cohort,Continuous infusion,Cohort,Observed,256,100% fT>MIC,10000,672,0.0672,0.0624571990866682,0.0722751899029895
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,0.25,100% fT>4xMIC,10000,9836,0.9836,0.980918546363793,0.985910050412089
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,0.5,100% fT>4xMIC,10000,9657,0.9657,0.961950268244109,0.969092075673442
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,1,100% fT>4xMIC,10000,9272,0.9272,0.921942149664117,0.932129762127977
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,2,100% fT>4xMIC,10000,8537,0.8537,0.846637533641496,0.860490825911088
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,4,100% fT>4xMIC,10000,7354,0.7354,0.726665001503445,0.74395421206364
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,8,100% fT>4xMIC,10000,5387,0.5387,0.528916582410025,0.548453696116084
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,16,100% fT>4xMIC,10000,2939,0.2939,0.285051954561708,0.302906329566685
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,32,100% fT>4xMIC,10000,936,0.0936,0.0880462051974196,0.0994659086782663
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,64,100% fT>4xMIC,10000,112,0.0112,0.00931698749023614,0.0134584093169373
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,128,100% fT>4xMIC,10000,1,1e-04,1.76526736011224e-05,0.000566268897401338
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,256,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,0.25,100% fT>MIC,10000,9976,0.9976,0.9964312236309,0.998386621190602
QDS_Cohort,Intermittent short infusion (QDS),Cohort,Observed,0.5,100% fT>MIC,10000,9931,0.9931,0.991277506238024,0.994543794568815
